Days,Confirmed,Deaths,Recovered
1,554,17,28
2,652,18,30
3,939,26,36
4,1432,42,39
5,2113,56,52
6,2922,82,61
7,5573,131,107
8,6161,133,126
9,8229,171,143
10,9920,213,222
11,12030,259,284
12,16779,362,472
13,19870,426,623
14,23881,492,852
15,27624,564,1124
16,30806,634,1487
17,34380,719,2011
18,37109,806,2616
19,40139,906,3241
20,42751,1013,3943
21,44790,1113,4680
22,45209,1118,5147
23,60355,1371,6292
24,66872,1523,8055
25,69017,1666,9392
26,71211,1770,10862
27,73245,1868,12580
28,75123,2007,14349
29,75626,2122,16118
30,76184,2247,18174
31,76808,2251,18885
32,78564,2458,22881
33,78950,2469,23389
34,79553,2629,25222
35,80398,2708,27899
36,81380,2770,30378
37,82738,2814,33271
38,84104,2872,36704
39,85987,2940,39775
40,88339,2995,42709
41,90253,3079,45595
42,92767,3153,48221
43,95016,3243,51163
44,97710,3336,53789
45,101567,3446,55858
46,105485,3541,58351
47,109343,3781,60687
48,113044,3966,62487
49,118592,4262,64404
50,125865,4615,67003
51,128343,4720,68324
52,145193,5404,70251
53,156094,5819,72624
54,167446,6440,76034
55,181527,7126,78088
56,197142,7905,80840
57,214910,8733,83207
58,242708,9867,84854
59,272166,11299,87256
60,304524,12973,91499
61,335955,14632,97704
